Country Code,treat_year_500m,treat_year_edu
AFG,2008.0,2010.0
AGO,2004.0,2005.0
ARG,2010.0,
ARM,,2014.0
ATG,,2012.0
AZE,2015.0,2016.0
BDI,2022.0,2005.0
BEN,2013.0,2013.0
BFA,,2019.0
BGD,2001.0,
BIH,2012.0,2009.0
BLR,2007.0,2013.0
BOL,2011.0,
BRA,2006.0,
BWA,2009.0,2015.0
CAF,2021.0,2011.0
CHL,2006.0,
CIV,2012.0,2017.0
CMR,2009.0,2012.0
COD,2006.0,
COG,2003.0,2011.0
COK,,2015.0
COL,2006.0,
CPV,,2012.0
CRI,2013.0,
CUB,2001.0,2003.0
DJI,2013.0,2017.0
DMA,,2010.0
ECU,2009.0,2004.0
EGY,2007.0,2009.0
ERI,2011.0,2007.0
ETH,2006.0,2003.0
FJI,2015.0,
GAB,2008.0,2015.0
GEO,2018.0,
GHA,2006.0,2007.0
GIN,2012.0,
GNQ,2007.0,2013.0
GUY,2015.0,2018.0
IDN,2003.0,
IND,2007.0,
IRN,2001.0,
IRQ,2010.0,2021.0
JAM,2010.0,2016.0
JOR,2017.0,
KAZ,2005.0,2013.0
KEN,2008.0,2009.0
KGZ,2009.0,
KHM,2005.0,2015.0
LAO,2003.0,2020.0
LBR,2013.0,2006.0
LBY,2009.0,
LKA,2005.0,2022.0
LSO,,2012.0
MAR,2008.0,2018.0
MDG,2017.0,2006.0
MDV,2015.0,
MEX,2006.0,
MHL,2007.0,
MKD,2013.0,2002.0
MLI,2010.0,2011.0
MMR,2000.0,2014.0
MNE,2014.0,
MNG,2009.0,2014.0
MOZ,2008.0,2012.0
MRT,2009.0,2011.0
MUS,2009.0,
MWI,2013.0,2011.0
MYS,2004.0,2013.0
NAM,2012.0,2003.0
NER,2008.0,2016.0
NGA,2002.0,2019.0
NIC,2023.0,
NPL,2011.0,2001.0
PAK,2000.0,2007.0
PAN,2018.0,
PER,2010.0,2012.0
PHL,2004.0,
PNG,2008.0,2004.0
PRK,2001.0,2000.0
RWA,2016.0,2002.0
SDN,2000.0,2011.0
SEN,2009.0,2018.0
SLE,2012.0,2013.0
SLV,,2018.0
SRB,2010.0,
SSD,2014.0,2020.0
SUR,2012.0,
SYC,,2007.0
SYR,2010.0,
TCD,2009.0,2018.0
TGO,2009.0,2011.0
THA,2007.0,
TJK,2006.0,2009.0
TKM,2007.0,
TON,,2000.0
TUN,2019.0,
TUR,2007.0,
TZA,2009.0,2015.0
UGA,2009.0,2015.0
UKR,2012.0,2011.0
UZB,2007.0,2004.0
VEN,2001.0,
VNM,2004.0,2006.0
VUT,2021.0,2005.0
WSM,,2012.0
YEM,2008.0,2008.0
ZAF,2004.0,
ZMB,2006.0,2013.0
ZWE,2006.0,2011.0
